output_linear_velocity,output_angular_velocity,distance_from_goal,angle_from_goal,lidar_depth_1,lidar_depth_2,lidar_depth_3,lidar_depth_4,lidar_depth_5,lidar_depth_6,lidar_depth_7,lidar_depth_8,lidar_depth_9,lidar_depth_10,lidar_depth_11,lidar_depth_12,lidar_depth_13,lidar_depth_14,lidar_depth_15,lidar_depth_16,lidar_depth_17,lidar_depth_18,lidar_depth_19,lidar_depth_20,lidar_depth_21,lidar_depth_22,lidar_depth_23,lidar_depth_24,lidar_depth_25,lidar_depth_26,lidar_depth_27,lidar_depth_28,lidar_depth_29,lidar_depth_30,lidar_depth_31,lidar_depth_32,lidar_depth_33,lidar_depth_34,lidar_depth_35,lidar_depth_36,lidar_depth_37,lidar_depth_38,lidar_depth_39,lidar_depth_40,lidar_depth_41,lidar_depth_42,lidar_depth_43,lidar_depth_44,lidar_depth_45,lidar_depth_46,lidar_depth_47,lidar_depth_48,lidar_depth_49,lidar_depth_50
0,0.3490658503988659,66.007575322837,1.5859466826696664,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,83.48182142774988,79.24597122916089,75.71430150234154,72.77871169238121,70.35681147660584,68.38554740221652,66.81678180085866,65.61419547414327,64.75111604202812,64.2090164429031,63.97651965065498,64.04880722607301,64.42737340382341,65.12010105896582,66.14166682343065,67.51431468415252,69.26907570649111,71.44756269522993,74.10454245576081,77.31160077298682,81.16239354665379,85.78027038837288,91.32955476485563,98.03264214319668,106.19668762288454,116.25674799824837,128.84851325069903,134.79222323097605,130.09756315670825,126.2400338914909,123.12160990366729,120.66767421532757,118.82234886230955,117.54523024369335,116.80915603277418,116.59876543209876
2,0.3490658503988659,66.007575322837,1.2597475961214906,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,83.8917323410606,79.58782711443017,75.99910113994873,73.01480418722116,70.55057868803335,68.54187381775013,66.9393824504633,65.70584617075937,64.81381422929539,64.24409085144252,63.98470035849765,64.03026315739179,64.3817209037687,65.04638436358391,66.03830855232609,67.37903149935671,69.09875051504687,71.23805954716097,73.85044255020952,77.00582598138982,80.7956645375872,85.34031425113041,90.79992152346242,97.39089017316238,105.41151238222908,115.2832646411771,127.62014882233294,135.24831432489376,130.4745476421449,126.54783732109024,123.36781962590786
2,0.3490658503988659,65.13808735050713,0.9127270950582764,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,80.92926353642626,76.86689326381673,73.48035048474172,70.66699148442889,68.34853012253103,66.46504867729332,64.97083747338702,63.83147851088219,63.02180199378698,62.52447740231726,62.329086372187135,62.43158252289595,62.83408517650497,63.54498715257418,64.57938696209996,65.95988747297022,67.71784157764513,69.8951772622705,72.54700983690388,75.74536439171442,79.58451510029164,84.18875055546758,89.72389051516764,96.41479298579134,104.57277473494861
2,0.2906129887936864,63.77165872430471,0.581225977289332,84.57997787630134,74.74451746158472,70.13861246749497,74.41945610030713,79.57230016682153,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,81.57440806175703,77.2191152495603,73.58717412911464,70.56343831194724,68.06039852637605,66.01114095900209,64.36448880609292,63.08160800774087,62.13362494935302,61.49996695656017,61.16723963076912,61.12852318893695,61.38301748998779,61.93600136744726,62.799102377680796,63.99090295593915,65.53794294710247,67.47622220786491,69.85336851708608,72.73172808935725
2,0.1404120830525954,62.16076141974173,0.2808241653256245,209.0523916150985,166.2371778093669,130.9955049563992,107.90320816558487,91.66951813410869,79.68908592088518,70.53052652019724,71.45639112769815,75.88493150960639,81.21907878423576,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,80.11527024391822,75.9019428670803,72.38843441271636,69.4647536326285,67.04721771653912,65.07181328692216,63.489606581969525,62.26353328944282,61.366145828395915,60.77804769588937,60.4868410901277,60.486478165441454,60.77695142202823,61.364293324822754,62.26088511503862
2,0.07787884663039027,60.56055624406807,0.15575769245435467,204.45176913968663,206.3547832562774,209.2006811514292,161.40149009795516,126.8206429543689,104.24147125280561,88.40612426261544,76.7393569989691,67.91149495691086,71.58787043041576,75.99926961825466,81.31164568306195,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,79.97208043308606,75.74292548572494,72.21618196476416,69.281010027066,66.8531092348617,64.86800105702814,63.27638763732628,62.04090674959875,61.13385443625636,60.53560103360161,60.23352424786904,60.22134786811259,60.498820268441605
2,0.035682304539068906,58.66938248545372,0.07136460841628245,203.4203949920475,204.09099188789193,205.6547812938759,208.14458230753263,170.83203009064215,131.1424951984226,106.13094731299351,88.99504694267338,76.57594462346016,67.20740232375434,70.2197638778977,74.34453172924843,79.30332798420051,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,77.113216663291,73.3443753385056,70.2040267811586,67.59902926651343,65.4582470676539,63.72723984927859,62.364563050249345,61.33917209773654,60.628607377035934,60.21775222145678,60.09803133764845
2,-0.15651060320337978,54.106900033841946,-0.31302120641582265,218.2000042505359,213.17477422877252,209.24762161087529,206.3298630521814,204.35801865791078,203.29033526523588,203.10458747579202,203.79693597306854,205.38173234901575,207.89225176278745,149.13711904093182,114.41923058908628,92.48243963385171,77.42711508482091,66.50274036253012,66.33586185333166,69.76772967886075,73.8836215378025,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,73.6997135627975,70.55758220107126,67.95155925906863,65.81062172000715
2,-0.294428786297813,53.230579709500404,-0.5888575726010987,219.11227526825303,240.54440893911368,233.04723125207428,225.18257858413153,218.72135540063283,213.49951115369572,209.39218691392438,206.30590924782206,204.17313344023302,202.9485126716629,202.60649547769472,203.14000873565294,204.56009781461643,206.89648941671848,153.6527769310584,116.40072664012875,93.30913390656983,77.65586607339964,66.39457890118557,65.20805584806817,68.50487468890128,72.45835664608298,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0
2,-0.3490658503988659,52.41634129576169,-0.9094561636396812,161.11201836197606,169.51928831332583,179.61482727620464,191.79211973869002,206.5919374187525,224.77556698741995,239.33293216575612,230.26690140360427,222.7599439949932,216.6108521057582,211.66572127981735,207.80771229940726,204.94986538275157,203.03009178962304,202.00778017496722,201.86166076049219,202.58871358094586,204.20401498171023,198.45861494926947,140.19083231092142,107.7590433462293,87.1747178628695,73.00627932979565,62.70445513367261,64.93152535943655,68.32123292524832,72.38673981314082,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0
2,-0.3490658503988659,51.93064203043913,-1.1955874884866327,139.25501341263944,143.03979534392167,147.68634447308736,153.31599707141095,160.08730900871004,168.20837647755286,177.9549055112121,189.69730058044863,203.9423865662633,221.39979005967442,240.41607044998966,231.03303665693647,223.25163151346015,216.85999891884322,211.69601338156443,207.63629997914603,204.58852962966176,202.48603409713184,201.28412624370367,200.95773366007617,201.5001067341035,202.92247528844456,205.25462089831186,147.4324872198637,111.72518391657871,89.55433047154209,74.50920875754699,63.677476301422644,63.26866247881743,66.48726577708787,70.34697363092151,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0,1000000000.0
