output_linear_velocity,output_angular_velocity,distance_from_goal,angle_from_goal,lidar_depth_1,lidar_depth_2,lidar_depth_3,lidar_depth_4,lidar_depth_5,lidar_depth_6,lidar_depth_7,lidar_depth_8,lidar_depth_9,lidar_depth_10,lidar_depth_11,lidar_depth_12,lidar_depth_13,lidar_depth_14,lidar_depth_15,lidar_depth_16,lidar_depth_17,lidar_depth_18,lidar_depth_19,lidar_depth_20,lidar_depth_21,lidar_depth_22,lidar_depth_23,lidar_depth_24,lidar_depth_25,lidar_depth_26,lidar_depth_27,lidar_depth_28,lidar_depth_29,lidar_depth_30,lidar_depth_31,lidar_depth_32,lidar_depth_33,lidar_depth_34,lidar_depth_35,lidar_depth_36,lidar_depth_37,lidar_depth_38,lidar_depth_39,lidar_depth_40,lidar_depth_41,lidar_depth_42,lidar_depth_43,lidar_depth_44,lidar_depth_45,lidar_depth_46,lidar_depth_47,lidar_depth_48,lidar_depth_49,lidar_depth_50
0,-0.3490658503988659,159.0,3.141592653589793,92.1650485436893,92.22670947837344,92.71076031876996,93.62726959101585,94.99561661684652,96.84551004086688,99.21861010419924,102.17092508193878,105.7762506953197,110.13107051194714,115.36157114489606,121.63381212562149,88.54846077530955,79.79597214179992,72.78378468117366,67.08123705199127,62.392000081898885,58.505946529923776,55.27039577001753,57.218311917792306,74.99431462214044,106.20150797794899,210.05548312655435,207.9552012750804,206.77699357049497,206.49630202959432,207.10732332540422,208.62271365472856,211.07423412646602,214.51439868712677,219.01928660328852,224.6928076790496,231.67288347960113,240.14026725716226,250.33112797432955,262.55517271074007,277.2221638258901,280.8340105683313,264.2923538520736,250.54411575744467,239.0829720622465,229.53048465782624,221.60016845126688,215.07336959806582,209.78273601555588,205.60071864674543,202.43150680978016,200.20538244920837,198.87484083008206,198.41206030150752
0,-0.3490658503988659,159.0,-2.844691509029401,96.10414251728375,98.27838921616333,101.00931189905911,104.36365782104014,108.42884790043475,113.31911487814783,119.18435377756327,126.22309490679419,82.79595015196487,75.20070824016727,69.05500117313463,64.01994968957887,59.857736869084675,56.39700887899123,53.5116469567292,67.39656773960598,92.28020225060472,211.07212585657177,208.62129407761478,207.10656243880334,206.49618401956565,206.77751600098546,207.95637496432246,210.05733269850347,213.12498083899018,217.22628735581733,222.45428220139456,228.9334631789133,236.8275360867049,246.35044395469896,257.78218208906793,271.49178801126675,287.77702573373733,270.04194529226913,255.3296693456556,243.07411062523224,232.85461479430853,224.35407213806258,217.33104674027228,211.60081103464546,207.02221640994935,203.488503889386,200.92085715274632,199.26393014612682,198.48285607372387,198.56142772250794,199.50126883552778,201.3219166335272,204.0618233789503,203.87346344635455
0,-0.3490658503988659,159.0,-2.504376390262137,115.01334385868033,121.21611028205896,89.153780101409,80.2764940987018,73.17184909532453,67.39871668683523,62.654188776427304,58.723830826915915,55.45204231920991,56.37672016847209,73.62955780523986,103.63209348322303,210.21489983021118,208.0569336002391,206.8231770434712,206.48789323800835,207.04414869657577,208.5034606494532,210.8963840076758,214.27409436476484,218.71112237147102,224.30951880969874,231.20490094109095,239.5750835881012,249.65238996534873,261.7413668652758,276.2446765052047,281.9516287331379,265.21880146729274,251.31563810290004,239.72644560584192,230.0661389647878,222.0433917753913,215.43593458881963,210.07364682468483,205.82680340976503,202.59783365621516,200.31554909784512,198.93116997451853,198.41572116428972,198.75853185115383,199.96669181222964,202.06541213339688,205.09932491071723,193.15852225629914,165.1525305624268,144.49041314987727,128.6985800764173,116.30667741712712,106.38648619963737
0,-0.3490658503988659,159.0,-2.1854890424908047,67.53604187844256,62.76755909924425,58.81802424921618,55.53056397013002,56.02252357803778,73.05798790304767,102.56517662475676,210.28437898489352,208.10162184990133,206.84401322561814,206.48530908866792,207.01809087749785,208.45338804223306,210.8212400165777,214.17225155357383,218.5802939210584,224.146627540242,231.0058912904412,239.33465384352223,249.36360928593308,261.3951207946546,275.8288494684063,282.4349546097262,265.6193454192187,251.64915528336348,240.0046099513859,230.29773235583,222.2350919884794,215.59284970784876,210.1996843354945,205.924928255148,202.6702494375212,200.363824308005,198.95632334478333,198.41827504816388,198.7385389623643,199.92373789893168,201.99859484382492,205.00720681818282,194.0269322042516,165.77993731419636,144.96255186165047,129.0647449408845,116.59719170981941,106.62100487038208,98.5156076310666,92.15705333685796,86.94805957311269,81.7898571382239,77.95692911173589
0,-0.3490658503988659,159.0,-1.8929749393675623,64.59306968059938,87.37006365600328,211.54165389273763,208.94071080675633,207.2826304387844,206.53256617658232,206.67496349523117,207.71276539513102,209.66756198954357,212.58069855373017,216.51544941970675,221.56047519990878,227.834926792262,235.49576923978992,244.74821657829125,255.86067171015128,269.1863891030081,285.1954744557924,272.59115329541646,257.4492906049435,244.8415137794207,234.3277023447131,225.57671981004944,218.3367627676755,212.41524795636812,207.6649205658434,203.97414327785717,201.26008093593973,199.4639584154233,198.54786293730646,198.49275649129888,199.2975002848293,200.9787968693184,203.572044407705,207.13318549635355,177.02233682086612,153.35017341802873,135.5281065150561,121.70033137117204,110.72534856675566,101.86312881665991,94.75696585448931,89.11062913624394,83.69881347501821,79.54887332202385,76.08970331525241,73.21708003430813,70.8514807493938,68.93204032160588,67.4123499279061
0,-0.3490658503988659,159.0,-1.576997327914815,206.55654453294164,206.63512737119723,207.60829100595734,209.4962646126603,212.3389195531959,216.19786114376356,221.15978387422996,227.34144136073613,234.89678614934638,244.02714273240753,254.99576321646686,268.1489093286791,283.9469474208657,273.78774455336713,258.4437264903803,245.6705710433255,235.01885847590972,226.1507713238609,218.8095820774033,212.7989868969826,207.9688475439715,204.20523056398912,201.42341617982538,199.5630280192076,198.58473780567252,198.46819906115496,199.21100330293478,200.82855763105488,203.35487199498309,206.84433199382198,179.01580937983974,154.82320919617396,136.65509828419934,122.585322422621,111.43418596099973,102.43946222123152,95.20322676311905,89.48141479332705,84.02602839036328,79.82178103153352,76.31693039963608,73.40518546258963,71.00548150994862,69.05577438059224,67.5087299652401,66.32870269536224,67.4349490181342,220.01345118236276,369.99262873477596,531.5211668956446
2,-0.3490658503988659,159.0,-1.2448630778453575,217.00829931977785,222.1806098754438,228.597422845552,236.42037673448556,245.86073379115857,257.1949243871441,270.7871258218599,287.12269324837825,270.80559762906785,255.96478288358344,243.60372247686772,233.29597965352977,224.72027207093237,217.6320755080785,211.84431910744428,207.21403020246157,203.63299024218887,201.02117833357602,199.32221850334443,198.50032695256053,198.53844204430146,199.4373514308541,201.21573208177082,203.91110704165575,205.62331130725855,174.08339382921952,151.17071793257387,133.8562148136472,120.38480829330271,109.67006249720353,101.0041201105134,94.09107172480422,88.5571223951783,83.21029451342163,79.14143626585516,75.75058038663593,72.93655636691695,70.6221233632195,68.74816498656365,67.26964817621997,66.15278836365741,221.78044611205556,219.7130969047559,491.1410732823585,531.4766572676235,532.5452714089446,535.8656262070791,541.5070878762356,379.7205523188425,344.84621863825396
2,-0.3490658503988659,158.0522500511784,-0.9037898297930618,264.73715571618715,279.67230011389626,277.04666325859307,260.87409239059855,247.42809619450378,236.21778323370737,226.87584031478124,219.12398622346905,212.7497407054649,207.59048400744572,203.52235809960268,200.4524804687171,198.3134971019521,197.05984887887857,196.66535159397952,197.12184427902866,198.4387738186975,200.64367604320432,203.78359944530536,185.94058033300493,159.5232209805401,139.9258038058519,124.88675011827101,113.04931261928199,103.55088057373864,95.81743918864935,89.7808765895698,84.22335235050019,79.82457495201173,76.15643351709504,73.10422234655962,70.58066378527853,68.51899256306537,66.8681738976225,65.58955868010946,64.65453632547377,219.6453102321705,258.5859823053254,530.8412710026987,530.7772799158851,532.9441138505339,537.3867608487179,544.1988214653151,363.03744026231885,336.34660766631833,324.5710928810985,317.6843992203285,79.42521293299656,67.73564701151629,65.45769668999516
2,-0.2870174062354952,156.58087251975851,-0.5740348125712968,231.90743621613595,223.08605138867892,215.78053016281223,209.794775855303,204.97878470729322,201.21865043037536,198.4295487463454,196.55084625163843,195.54278331775092,195.3843817454495,196.07236760983864,197.62100484079767,200.0628236148153,203.450313680865,173.7806564863548,150.0675255300869,132.29232410789976,118.5457765360099,107.6621909791594,98.8902345697815,91.80783080940265,86.2346348021576,80.9507619564004,76.85615142961525,73.44244868272406,70.60563548112962,68.26640688414527,66.36406770997758,64.85229587810001,63.69617346700949,62.87010563887068,217.58841388902033,283.1457838190354,529.1183544549816,529.6670995968469,532.4482704133592,537.5197862426868,544.9891196689126,354.64379111990513,331.7216159337307,322.33546646704315,316.8591854181904,79.56647842389177,68.6235596713798,64.6955726192197,68.43668605521604,72.93105345763071,78.35692094037682,84.96000886053872,93.0875551645924
2,-0.1523046503952114,154.77647836303444,-0.30460930092834837,202.9493047358908,199.48936920747522,196.97698296594714,195.35800388608416,194.59836896804453,194.68231701210522,195.6115828820461,197.40548567513326,200.1019192332333,190.72541561053916,161.63913832531767,140.45551524267825,124.41805381429808,111.92296220318723,101.97429981084424,93.92155138051214,87.556345570618,82.40597803572359,77.37501014773233,73.58903066236063,70.43431496476438,67.8172002497414,65.66615694901006,63.92644259374062,62.55637791896582,61.52473412416384,60.808905766942075,215.27036554600917,418.0293908265592,527.2315802852129,528.4143829955668,531.8338297360682,537.5614162043747,382.3559535394043,345.54444532194225,327.1331058461561,319.5329431417759,315.977196932202,78.54325009086651,68.30998295987729,63.51703188604749,67.34551842790668,71.94990665994361,77.51959575968192,84.31740699700522,92.71777903650614,103.27177865221202,106.7566545348325,103.64651131399086,101.14262256513943
